company,links,address,telephone,email,open,description,contacts,Cod_Fiscal,product_service,key_words,activity,service_area,opening_hours,payment_method,company_logo,photo_and_vid_gallary
IM FINANCE TRUST S.R.L.,https://www.paginiaurii.ro//companii/BUCURE%C5%9ETI/L4311845/IM+FINANCE+TRUST+S.R.L./,"STR. VORONEŢ, Nr. 16, BUCUREŞTI, Cod Postal 031554",0722-548 558, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2015: FuncţiuneCOD FISCAL: 18540836NUMĂR DE ÎNREGISTRARE: J40/5394/2006FORMA LEGALA: SRLCOD CAEN:7022- ACTIVITĂŢI DE CONSULTANŢĂ PENTRU AFACERI SI MANAGEMENTDATA ÎNCEPERII ACTIVITĂŢII: 17/07/2008NUMAR ANGAJATI LA DATA 31/12/2015: CAPITALUL SUBSCRIS: 200 RONCIFRA DE AFACERI LA DATA 31/12/2015:  RON PROFIT LA DATA 31/12/2015: -56952 RON", ,18540836, , ,Consultanţă în afaceri şi finanţe, , , , , 
MANAGCONSULT & LAW S.R.L.,https://www.paginiaurii.ro//companii/TIMI%C5%9EOARA/L4492596/MANAGCONSULT+%26+LAW+S.R.L./,"BD. DÂMBOVIŢA, Nr. 86, Bl.86, Sc.A, Et.2, Ap.215, TIMIŞOARA, Cod Postal 300152, Jud. TIMIŞ",0754-600 641, ,<built-in function open>, , ,33551162, , ,Consultanţă în afaceri şi finanţe, , , , , 
CENTRUL EUROPEAN PT. CONSULTANŢĂ ŞI DEZVOLTAREA AFACERILOR,https://www.paginiaurii.ro//companii/PIATRA+NEAM%C5%A2/L4532616/CENTRUL+EUROPEAN+PT.+CONSULTAN%C5%A2%C4%82+%C5%9EI+DEZVOLTAREA+AFACERILOR/,"STR. ION ROATĂ, Nr. 8, PIATRA NEAMŢ, Cod Postal 610055, Jud. NEAMŢ",0741-103 292, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2014: SuspendataCOD FISCAL: 27987265NUMĂR DE ÎNREGISTRARE: J27/61/2011FORMA LEGALA: SRLCOD CAEN:7022- ACTIVITĂŢI DE CONSULTANŢĂ PENTRU AFACERI SI MANAGEMENTDATA ÎNCEPERII ACTIVITĂŢII: 04/02/2011NUMAR ANGAJATI LA DATA 31/12/2014: 0CAPITALUL SUBSCRIS: 210 RONCIFRA DE AFACERI LA DATA 31/12/2014: 0 RON PROFIT LA DATA 31/12/2014: 0 RON", ,27987265, , ,Consultanţă în afaceri şi finanţe, , , , , 
CABINET DE CONSULTANŢĂ S.R.L.,"https://www.paginiaurii.ro//companii/Sector+3,+BUCURE%C5%9ETI/L4338256/CABINET+DE+CONSULTAN%C5%A2%C4%82+S.R.L./","STR. EMIL GÂRLEANU, Nr. 6, Bl.V52C, Sc.1, Ap.11, Sector 3, BUCUREŞTI",0723-666 816, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2013: FuncţiuneCOD FISCAL: 14856268NUMĂR DE ÎNREGISTRARE: J40/8509/2002FORMA LEGALA: SRLCOD CAEN:6910- ACTIVITĂŢI JURIDICEDATA ÎNCEPERII ACTIVITĂŢII: 04/09/2002NUMAR ANGAJATI LA DATA 31/12/2013: 0CAPITALUL SUBSCRIS: 2000 RONCIFRA DE AFACERI LA DATA 31/12/2013: 0 RON PROFIT LA DATA 31/12/2013: 0 RON", ,14856268, , ,Consultanţă în afaceri şi finanţe, , , , , 
CONTINVEST INSOLVENŢĂ I.P.U.R.L.,https://www.paginiaurii.ro//companii/CONSTAN%C5%A2A/L4406195/CONTINVEST+INSOLVEN%C5%A2%C4%82+I.P.U.R.L./,"STR. MAIOR ŞOFRAN, Nr. 3, CONSTANŢA, Cod Postal 900544, Jud. CONSTANŢA",0241-542 942, ,<built-in function open>,"Descriere:
Societate dinamică cu o bogată experienţă naţională are obiect principal de activitate reorganizarea, lichidarea judiciară a societăţilor comerciale.INFORMATII FINANCIARE ŞI FISCALESTATUS: FuncţiuneCOD FISCAL: 20963919NUMĂR DE ÎNREGISTRARE:  RSP0269FORMA LEGALA: SRLDATA ÎNCEPERII ACTIVITĂŢII: 06/02/2007", ,20963919, , ,Consultanţă în afaceri şi finanţe, , , , , 
ROLAND BERGER&PARTNER S.R.L.,"https://www.paginiaurii.ro//companii/Sector+2,+BUCURE%C5%9ETI/L4511748/ROLAND+BERGER%26PARTNER+S.R.L./","STR. DOCTOR BURGHELE, Nr. 5, Sector 2, BUCUREŞTI, Cod Postal 24031",021-306 0500, ,<built-in function open>, , , , , ,Consultanţă în afaceri şi finanţe, , , , , 
M.I.D. ROXANA CONSULTING,https://www.paginiaurii.ro//companii/BAC%C4%82U/L4380478/M.I.D.+ROXANA+CONSULTING/,"STR. NICU ENEA, Nr. 54, BACĂU, Jud. BACĂU",0740-335 112, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2015: FuncţiuneCOD FISCAL: 18670003NUMĂR DE ÎNREGISTRARE: J04/1446/2008FORMA LEGALA: SRLCOD CAEN:7022- ACTIVITĂŢI DE CONSULTANŢĂ PENTRU AFACERI SI MANAGEMENTDATA ÎNCEPERII ACTIVITĂŢII: 16/05/2006NUMAR ANGAJATI LA DATA 31/12/2015: CAPITALUL SUBSCRIS: 200 RONCIFRA DE AFACERI LA DATA 31/12/2015:  RON PROFIT LA DATA 31/12/2015: -3806 RON", ,18670003, , ,Consultanţă în afaceri şi finanţe, , , , , 
DINAMIC SERVICES S.R.L.,https://www.paginiaurii.ro//companii/ARAD/L4474387/DINAMIC+SERVICES+S.R.L./,"STR. TUDOR VLADIMIRESCU, Nr. 37, Bl.B1, Ap.2, ARAD, Cod Postal 310010, Jud. ARAD",0357-401 264, ,<built-in function open>,"Descriere:
Firma noastră vă oferă: servicii offshore, căutare parteneri de afaceri şi consultanţă în reducerea de costuri.INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2015: FuncţiuneCOD FISCAL: 10870804NUMĂR DE ÎNREGISTRARE: J02/471/1998FORMA LEGALA: SRLCOD CAEN:7022- ACTIVITĂŢI DE CONSULTANŢĂ PENTRU AFACERI SI MANAGEMENTDATA ÎNCEPERII ACTIVITĂŢII: 13/08/1998NUMAR ANGAJATI LA DATA 31/12/2015: CAPITALUL SUBSCRIS: 200 RONCIFRA DE AFACERI LA DATA 31/12/2015: 8088 RON PROFIT LA DATA 31/12/2015: 10 RON", ,10870804, , ,Consultanţă în afaceri şi finanţe, , , , , 
TENDER PARTNERS S.R.L.,"https://www.paginiaurii.ro//companii/Sector+3,+BUCURE%C5%9ETI/L6252729/TENDER+PARTNERS+S.R.L./","CAL. DUDESTI, Nr. 188, bl. A, et. 12, ap. 91 (InCity Residences), Sector 3, BUCUREŞTI, Cod Postal 031088",0726-137 818, ,<built-in function open>,"Descriere:
Consultanta de specialitate achizitii publice (intocmire oferte pentru licitatii publice, inclusiv oferte tehnice si financiare - devize, grafice, etc.)", ,41552304, , ,Consultanţă în afaceri şi finanţe, , , , , 
STRATEG ID SRL,https://www.paginiaurii.ro//companii/T%C3%82RGU+MURE%C5%9E/L4515935/STRATEG+ID+SRL/,"STR. MIORITEI, Nr.19, TÂRGU MUREŞ, Cod Postal 540179, Jud. MUREŞ",0265-261 188, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2014: FuncţiuneCOD FISCAL: 18714274NUMĂR DE ÎNREGISTRARE: J26/886/2006FORMA LEGALA: SRLCOD CAEN:7022- ACTIVITĂŢI DE CONSULTANŢĂ PENTRU AFACERI SI MANAGEMENTDATA ÎNCEPERII ACTIVITĂŢII: 29/05/2006NUMAR ANGAJATI LA DATA 31/12/2014: 1CAPITALUL SUBSCRIS: 10000 RONCIFRA DE AFACERI LA DATA 31/12/2014: 284194 RON PROFIT LA DATA 31/12/2014: 145277 RON", ,18714274, , ,Consultanţă în afaceri şi finanţe, , , , , 
SOLO MARKETING SRL,https://www.paginiaurii.ro//companii/SUCEAVA/L4452961/SOLO+MARKETING+SRL/,"STR. ALEXANDRU CEL BUN, Nr.14, Bl. B 2 Sc. B Ap. 15, SUCEAVA, Cod Postal 720051, Jud. SUCEAVA",0740-112 154, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2014: FuncţiuneCOD FISCAL: 18080088NUMĂR DE ÎNREGISTRARE: J33/1370/2005FORMA LEGALA: SRLCOD CAEN:7022- ACTIVITĂŢI DE CONSULTANŢĂ PENTRU AFACERI SI MANAGEMENTDATA ÎNCEPERII ACTIVITĂŢII: 27/10/2005NUMAR ANGAJATI LA DATA 31/12/2014: CAPITALUL SUBSCRIS: 200 RONCIFRA DE AFACERI LA DATA 31/12/2014: 11160 RON PROFIT LA DATA 31/12/2014: 5682 RON", ,18080088, , ,Consultanţă în afaceri şi finanţe, , , , , 
HERMES EXPERT CONTA SRL,"https://www.paginiaurii.ro//companii/6,+BUCURE%C5%9ETI/L4465976/HERMES+EXPERT+CONTA+SRL/","STR. CEAHLAU, Nr.2, Bl. 15 Et. P Ap. 1, 6, BUCUREŞTI, Cod Postal 60377",021-319 5353, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2015: FuncţiuneCOD FISCAL: 18585315NUMĂR DE ÎNREGISTRARE: J40/6285/2006FORMA LEGALA: SRLCOD CAEN:6920- ACTIVITĂŢI DE CONTABILITATE SI AUDIT FINANCIAR; CONSULTANŢĂ ÎN DOMENIUL FISCALDATA ÎNCEPERII ACTIVITĂŢII: 13/04/2006NUMAR ANGAJATI LA DATA 31/12/2015: 4CAPITALUL SUBSCRIS: 200 RONCIFRA DE AFACERI LA DATA 31/12/2015: 244416 RON PROFIT LA DATA 31/12/2015: 56382 RON", ,18585315, , ,Consultanţă în afaceri şi finanţe, , , , , 
FONDUL NAŢIONAL DE GARANTARE A CREDITELOR PT. IMM-URI,https://www.paginiaurii.ro//companii/ORADEA/L4402285/FONDUL+NA%C5%A2IONAL+DE+GARANTARE+A+CREDITELOR+PT.+IMM-URI/,"STR. ROMAN CIOROGARIU, Nr. 9, ORADEA, Cod Postal 410017, Jud. BIHOR",0259-432 980, ,<built-in function open>, , , , , ,Consultanţă în afaceri şi finanţe, , , , , 
ABC TRAINING CONSULTING S.R.L.,"https://www.paginiaurii.ro//companii/Sector+3,+BUCURE%C5%9ETI/L4375111/ABC+TRAINING+CONSULTING+S.R.L./","STR. EUFROSINA POPESCU, Nr. 54, Bl.37A+B, Sc.F, Ap.255, Sector 3, BUCUREŞTI, Cod Postal 031682",0740-590 406, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2014: FuncţiuneCOD FISCAL: 16701240NUMĂR DE ÎNREGISTRARE: J40/13989/2004FORMA LEGALA: SRLCOD CAEN:7022- ACTIVITĂŢI DE CONSULTANŢĂ PENTRU AFACERI SI MANAGEMENTDATA ÎNCEPERII ACTIVITĂŢII: 31/08/2004NUMAR ANGAJATI LA DATA 31/12/2014: CAPITALUL SUBSCRIS: 200 RONCIFRA DE AFACERI LA DATA 31/12/2014: 13144 RON PROFIT LA DATA 31/12/2014: -10368 RON", ,16701240, , ,Consultanţă în afaceri şi finanţe, , , , , 
COMBRIDGE S.R.L.,https://www.paginiaurii.ro//companii/ODORHEIU+SECUIESC/L4450788/COMBRIDGE+S.R.L./,"STR. LĂCĂTUŞILOR, Nr. 8C, Ap.3, ODORHEIU SECUIESC, Jud. HARGHITA",0266-219 510, ,<built-in function open>, , , , , ,Consultanţă în afaceri şi finanţe, , , , , 
ECO MICROTECH CONSULTING,"https://www.paginiaurii.ro//companii/Sector+2,+BUCURE%C5%9ETI/L4414338/ECO+MICROTECH+CONSULTING/","STR. ZIDURI ÎNTRE VII, Nr. 1, Sector 2, BUCUREŞTI, Cod Postal 23323",031-801 9314, ,<built-in function open>, , , , , ,Consultanţă în afaceri şi finanţe, , , , , 
TUMAR CONSULT IMPEX S.R.L.,https://www.paginiaurii.ro//companii/BUCURE%C5%9ETI/L4452517/TUMAR+CONSULT+IMPEX+S.R.L./,"STR. SUBLOCOTENENT GHEORGHE STĂNESCU, Nr. 4, Bl.208, BUCUREŞTI, Cod Postal 42036",0740-781 041, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2015: FuncţiuneCOD FISCAL: 28366665NUMĂR DE ÎNREGISTRARE: J40/4822/2011FORMA LEGALA: SRLCOD CAEN:7022- ACTIVITĂŢI DE CONSULTANŢĂ PENTRU AFACERI SI MANAGEMENTDATA ÎNCEPERII ACTIVITĂŢII: 18/04/2011NUMAR ANGAJATI LA DATA 31/12/2015: 1CAPITALUL SUBSCRIS: 200 RONCIFRA DE AFACERI LA DATA 31/12/2015: 141373 RON PROFIT LA DATA 31/12/2015: 36505 RON", ,28366665, , ,Consultanţă în afaceri şi finanţe, , , , , 
TEHNOBAT CONSULTING,https://www.paginiaurii.ro//companii/BUCURE%C5%9ETI/L4421062/TEHNOBAT+CONSULTING/,"CAL. 13 SEPTEMBRIE, Nr. 222, BUCUREŞTI, Cod Postal 50735",0726-738 146, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2015: FuncţiuneCOD FISCAL: 22446501NUMĂR DE ÎNREGISTRARE: J40/17661/2007FORMA LEGALA: SRLCOD CAEN:7022- ACTIVITĂŢI DE CONSULTANŢĂ PENTRU AFACERI SI MANAGEMENTDATA ÎNCEPERII ACTIVITĂŢII: 21/09/2007NUMAR ANGAJATI LA DATA 31/12/2015: CAPITALUL SUBSCRIS: 200 RONCIFRA DE AFACERI LA DATA 31/12/2015: 3255419 RON PROFIT LA DATA 31/12/2015: 20612 RON", ,22446501, , ,Consultanţă în afaceri şi finanţe, , , , , 
MULTISERV & CONSULT S.R.L.,https://www.paginiaurii.ro//companii/CONSTAN%C5%A2A/L4460181/MULTISERV+%26+CONSULT+S.R.L./,"STR. GRĂNICERULUI, Nr. 8, CONSTANŢA, Cod Postal 900389, Jud. CONSTANŢA",0721-812 059, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2014: SuspendataCOD FISCAL: 17579749NUMĂR DE ÎNREGISTRARE: J13/1559/2005FORMA LEGALA: SRLCOD CAEN:7490- ALTE ACTIVITĂŢI PROFESIONALE STIINŢIFICE SI TEHNICE N.C.A.DATA ÎNCEPERII ACTIVITĂŢII: 13/05/2005NUMAR ANGAJATI LA DATA 31/12/2014: CAPITALUL SUBSCRIS: 1000 RONCIFRA DE AFACERI LA DATA 31/12/2014: 49290 RON PROFIT LA DATA 31/12/2014: 7554 RON", ,17579749, , ,Consultanţă în afaceri şi finanţe, , , , , 
SCHNECKER VAN WYK&PEARSON PRO RETAIL S.R.L.,"https://www.paginiaurii.ro//companii/Sector+1,+BUCURE%C5%9ETI/L4492990/SCHNECKER+VAN+WYK%26PEARSON+PRO+RETAIL+S.R.L./","STR. INGINER DUMITRU ZOSIMA, Nr. 66B, Sector 1, BUCUREŞTI, Cod Postal 011539",021-232 1110, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2014: SuspendataCOD FISCAL: 18852757NUMĂR DE ÎNREGISTRARE: J40/11490/2006FORMA LEGALA: SRLCOD CAEN:6612- ACTIVITĂŢI DE INTERMEDIERE A TRANZACŢIILOR FINANCIAREDATA ÎNCEPERII ACTIVITĂŢII: 14/07/2006NUMAR ANGAJATI LA DATA 31/12/2014: 0CAPITALUL SUBSCRIS: 1500 RONCIFRA DE AFACERI LA DATA 31/12/2014: 0 RON PROFIT LA DATA 31/12/2014: 0 RON", ,18852757, , ,Consultanţă în afaceri şi finanţe, , , , , 
MASTER BUSINESS SRL,https://www.paginiaurii.ro//companii/BRA%C5%9EOV/L4497928/MASTER+BUSINESS+SRL/,"BD. GRIVITEI, Nr.91, Sc. D Et. P Ap. 1, BRAŞOV, Cod Postal 500173, Jud. BRAŞOV",0268-420 905, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2014: FuncţiuneCOD FISCAL: 22514959NUMĂR DE ÎNREGISTRARE: J08/2678/2007FORMA LEGALA: SRLCOD CAEN:7022- ACTIVITĂŢI DE CONSULTANŢĂ PENTRU AFACERI SI MANAGEMENTDATA ÎNCEPERII ACTIVITĂŢII: 04/10/2007NUMAR ANGAJATI LA DATA 31/12/2014: 1CAPITALUL SUBSCRIS: 3000 RONCIFRA DE AFACERI LA DATA 31/12/2014: 23650 RON PROFIT LA DATA 31/12/2014: 12252 RON", ,22514959, , ,Consultanţă în afaceri şi finanţe, , , , , 
CONSULTING IMPEX SRL,https://www.paginiaurii.ro//companii/SLATINA/L4331500/CONSULTING+IMPEX+SRL/,"STR. DINU LIPATTI, Nr.1, Bl. 1 Sc. A Et. 4 Ap. 12, SLATINA, Cod Postal 230079, Jud. OLT",0249-437 284, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2015: FuncţiuneCOD FISCAL: 6833069NUMĂR DE ÎNREGISTRARE: J28/1618/1994FORMA LEGALA: SRLCOD CAEN:8559- ALTE FORME DE ÎNVĂŢĂMÂNT N.C.A.DATA ÎNCEPERII ACTIVITĂŢII: 29/12/1994NUMAR ANGAJATI LA DATA 31/12/2015: 3CAPITALUL SUBSCRIS: 200 RONCIFRA DE AFACERI LA DATA 31/12/2015: 43080 RON PROFIT LA DATA 31/12/2015: 11548 RON", ,6833069, , ,Consultanţă în afaceri şi finanţe, , , , , 
EMCT ROMÂNIA,"https://www.paginiaurii.ro//companii/Sector+2,+BUCURE%C5%9ETI/L4425513/EMCT+ROM%C3%82NIA/","ŞOS. PIPERA, Nr. 41, Sector 2, BUCUREŞTI, Cod Postal 014254",021-233 1740, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2013: FuncţiuneCOD FISCAL: 10180804NUMĂR DE ÎNREGISTRARE: J40/993/1998FORMA LEGALA: SRLCOD CAEN:7022- ACTIVITĂŢI DE CONSULTANŢĂ PENTRU AFACERI SI MANAGEMENTDATA ÎNCEPERII ACTIVITĂŢII: 12/02/1998NUMAR ANGAJATI LA DATA 31/12/2013: 28CAPITALUL SUBSCRIS: 560000 RONCIFRA DE AFACERI LA DATA 31/12/2013: 4519722 RON PROFIT LA DATA 31/12/2013: 23042 RON", ,10180804, , ,Consultanţă în afaceri şi finanţe, , , , , 
ALMI MANAGEMENT,https://www.paginiaurii.ro//companii/TIMI%C5%9EOARA/L4309547/ALMI+MANAGEMENT/,"STR. BUCOVINEI, TIMIŞOARA, Cod Postal 300361, Jud. TIMIŞ",0742-070 222, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2015: FuncţiuneCOD FISCAL: 26424778NUMĂR DE ÎNREGISTRARE: J35/82/2010FORMA LEGALA: SRLCOD CAEN:7490- ALTE ACTIVITĂŢI PROFESIONALE STIINŢIFICE SI TEHNICE N.C.A.DATA ÎNCEPERII ACTIVITĂŢII: 21/01/2010NUMAR ANGAJATI LA DATA 31/12/2015: 1CAPITALUL SUBSCRIS: 200 RONCIFRA DE AFACERI LA DATA 31/12/2015: 342199 RON PROFIT LA DATA 31/12/2015: 230948 RON", ,26424778, , ,Consultanţă în afaceri şi finanţe, , , , , 
AMA MANAGEMENT CONSULTING S.R.L.,"https://www.paginiaurii.ro//companii/Sector+5,+BUCURE%C5%9ETI/L4457600/AMA+MANAGEMENT+CONSULTING+S.R.L./","STR. SAPIENŢEI, Nr. 6, Sector 5, BUCUREŞTI, Cod Postal 050133",0722-202 406, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS: RadiatăCOD FISCAL: 11186341NUMĂR DE ÎNREGISTRARE: J40/11389/1998FORMA LEGALA: SRLCOD CAEN:7022- ACTIVITĂŢI DE CONSULTANŢĂ PENTRU AFACERI SI MANAGEMENTCAPITALUL SUBSCRIS: 200 RON", ,11186341, , ,Consultanţă în afaceri şi finanţe, , , , , 
CENTRUL DE INFORMARE&CONSULTANŢĂ TRANSILVANIA S.A.,https://www.paginiaurii.ro//companii/CLUJ-NAPOCA/L4318715/CENTRUL+DE+INFORMARE%26CONSULTAN%C5%A2%C4%82+TRANSILVANIA+S.A./,"BD. MUNCII, Nr. 18, CLUJ-NAPOCA, Cod Postal 400641, Jud. CLUJ",0745-629 000, ,<built-in function open>, , , , , ,Consultanţă în afaceri şi finanţe, , , , , 
G.P.A. BUSINESS CONSULTING S.R.L.,https://www.paginiaurii.ro//companii/CLUJ-NAPOCA/L4515190/G.P.A.+BUSINESS+CONSULTING+S.R.L./,"STR. EMIL ISAC, Nr. 23, CLUJ-NAPOCA, Cod Postal 400023, Jud. CLUJ",0264-593 261, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2014: FuncţiuneCOD FISCAL: 16145539NUMĂR DE ÎNREGISTRARE: J40/2209/2004FORMA LEGALA: SRLCOD CAEN:7022- ACTIVITĂŢI DE CONSULTANŢĂ PENTRU AFACERI SI MANAGEMENTDATA ÎNCEPERII ACTIVITĂŢII: 17/02/2004NUMAR ANGAJATI LA DATA 31/12/2014: 0CAPITALUL SUBSCRIS: 200 RONCIFRA DE AFACERI LA DATA 31/12/2014: 0 RON PROFIT LA DATA 31/12/2014: -25593 RON", ,16145539, , ,Consultanţă în afaceri şi finanţe, , , , , 
EUROPEAN FUNDING APPLICATION,https://www.paginiaurii.ro//companii/COM.+S%C3%82NPETRU/L4441000/EUROPEAN+FUNDING+APPLICATION/,"MAGNOLIEI, Nr. 6, COM. SÂNPETRU, Jud. BRAŞOV",0368-520 052, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2013: FuncţiuneCOD FISCAL: 29900957NUMĂR DE ÎNREGISTRARE: J08/371/2012FORMA LEGALA: SRLCOD CAEN:6399- ALTE ACTIVITĂŢI DE SERVICII INFORMAŢIONALE N.C.ADATA ÎNCEPERII ACTIVITĂŢII: 13/03/2012NUMAR ANGAJATI LA DATA 31/12/2013: 0CAPITALUL SUBSCRIS: 200 RONCIFRA DE AFACERI LA DATA 31/12/2013: 0 RON PROFIT LA DATA 31/12/2013: 0 RON", ,29900957, , ,Consultanţă în afaceri şi finanţe, , , , , 
LID EXPERT QMS,https://www.paginiaurii.ro//companii/BUCURE%C5%9ETI/L4383371/LID+EXPERT+QMS/,"STR. DEZROBIRII, Nr. 44, Bl.O9, Sc.A, Ap.53, BUCUREŞTI, Cod Postal 060989",021-769 1906, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2015: FuncţiuneCOD FISCAL: 23422560NUMĂR DE ÎNREGISTRARE: J40/3936/2008FORMA LEGALA: SRLCOD CAEN:7022- ACTIVITĂŢI DE CONSULTANŢĂ PENTRU AFACERI SI MANAGEMENTDATA ÎNCEPERII ACTIVITĂŢII: 04/03/2008NUMAR ANGAJATI LA DATA 31/12/2015: 2CAPITALUL SUBSCRIS: 200 RONCIFRA DE AFACERI LA DATA 31/12/2015: 123279 RON PROFIT LA DATA 31/12/2015: 13825 RON", ,23422560, , ,Consultanţă în afaceri şi finanţe, , , , , 
BLUEHILL BUSINESS CENTER SRL,https://www.paginiaurii.ro//companii/TIMI%C5%9EOARA/L4414288/BLUEHILL+BUSINESS+CENTER+SRL/,"STR. CUGIR, Nr.4, Bl. 4 Sc. B Ap. 8, TIMIŞOARA, Cod Postal 300645, Jud. TIMIŞ",0765-240 709, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2014: FuncţiuneCOD FISCAL: 15640130NUMĂR DE ÎNREGISTRARE: J35/1751/2003FORMA LEGALA: SRLCOD CAEN:7490- ALTE ACTIVITĂŢI PROFESIONALE STIINŢIFICE SI TEHNICE N.C.A.DATA ÎNCEPERII ACTIVITĂŢII: 01/08/2003NUMAR ANGAJATI LA DATA 31/12/2014: 0CAPITALUL SUBSCRIS: 200 RONCIFRA DE AFACERI LA DATA 31/12/2014: 0 RON PROFIT LA DATA 31/12/2014: -60 RON", ,15640130, , ,Consultanţă în afaceri şi finanţe, , , , , 
HORIZONT,https://www.paginiaurii.ro//companii/ODORHEIU+SECUIESC/L4320447/HORIZONT/,"STR. INDEPENDENŢEI, ODORHEIU SECUIESC, Jud. HARGHITA",0266-218 027, ,<built-in function open>, , ,16584763, , ,Consultanţă în afaceri şi finanţe, , , , , 
COVRESCU SRL,https://www.paginiaurii.ro//companii/R%C3%82MNICU+V%C3%82LCEA/L4543501/COVRESCU+SRL/,"STR. MARASESTI, Nr.1, Bl. 13 Sc. C Et. 2 Ap. 9, RÂMNICU VÂLCEA, Cod Postal 240219, Jud. VÂLCEA",0744-558 257, ,<built-in function open>,"Descriere:
Înfiinţată în 2003, firma are ca obiect de activitate: finanţare proiecte-fonduri interne şi UE, studii de fezabilitate şi planuri de afaceri, evaluări, proiecte fonduri Sapard: Nex SRL, Hidroconstrucţia SA, Euromanagement Consult SRL, Com Euromet SRL, P.INFORMATII FINANCIARE ŞI FISCALESTATUS LA DATA 31/12/2015: FuncţiuneCOD FISCAL: 15536920NUMĂR DE ÎNREGISTRARE: J38/507/2003FORMA LEGALA: SRLCOD CAEN:7112- ACTIVITĂŢI DE INGINERIE SI CONSULTANŢĂ TEHNICĂ LEGATE DE ACESTEADATA ÎNCEPERII ACTIVITĂŢII: 23/06/2003NUMAR ANGAJATI LA DATA 31/12/2015: 4CAPITALUL SUBSCRIS: 2000 RONCIFRA DE AFACERI LA DATA 31/12/2015: 179929 RON PROFIT LA DATA 31/12/2015: 3365 RON", ,15536920, , ,Consultanţă în afaceri şi finanţe, , , , , 
GLOBAL E-BUSINESS OPERATIONS CENTRE,https://www.paginiaurii.ro//companii/BUCURE%C5%9ETI/L4327872/GLOBAL+E-BUSINESS+OPERATIONS+CENTRE/,"BD. PROFESOR DIMITRIE POMPEIU, Nr. 6, BUCUREŞTI, Cod Postal 20337",0741-863 000, ,<built-in function open>, , , , , ,Consultanţă în afaceri şi finanţe, , , , , 
SUVENIRE CONSULTING SRL,https://www.paginiaurii.ro//companii/COM.+ISVERNA/L6057322/SUVENIRE+CONSULTING+SRL/,"SAT TURTABA NR 31, COM. ISVERNA, Cod Postal 227285, Jud. MEHEDINŢI",0746-286 888, ,<built-in function open>,"Descriere:
INFORMATII FINANCIARE ŞI FISCALESTATUS: FuncţiuneCOD FISCAL: 35226427NUMĂR DE ÎNREGISTRARE: J25/430/2015FORMA LEGALA: SRLDATA ÎNCEPERII ACTIVITĂŢII: 12/11/2015", ,35226427, , ,Consultanţă în afaceri şi finanţe, , , , , 
